id,gender,masterCategory,subCategory,articleType,baseColour,season,year,usage,productDisplayName
47136,Women,Accessories,Bags,Handbags,Blue,Summer,2015,Casual,Be For Bag Women Blue Tote Bag
44581,Men,Apparel,Bottomwear,Jeans,Navy Blue,Summer,2017,Casual,Lee Rinse Navy Blue Slim Fit Jeans
56878,Women,Footwear,Shoes,Heels,Silver,Winter,2012,Casual,HM Women Silver Heels
57196,Women,Apparel,Topwear,Tunics,Red,Summer,2012,Casual,Elle Women Red Tunic
53152,Men,Apparel,Topwear,Shirts,Brown,Summer,2012,Formal,Mark Taylor Men Brown Shirt
51605,Women,Apparel,Bottomwear,Trousers,Black,Fall,2012,Casual,Kraus Jeans Women Black Trousers
54979,Women,Apparel,Topwear,Shirts,White,Summer,2012,Casual,Femella Women White Printed Shirt
46480,Women,Accessories,Watches,Watches,Steel,Winter,2016,Casual,Timex Women Steel Watch
52074,Men,Apparel,Topwear,Tshirts,Yellow,Summer,2012,Casual,Myntra Men Yellow & Blue T-shirt
52848,Women,Accessories,Jewellery,Earrings,Green,Summer,2012,Casual,Adrika Women Green Earrings
18890,Women,Apparel,Topwear,Shirts,Purple,Fall,2011,Casual,Arrow Woman Tyra Purple Shirt
50175,Women,Footwear,Shoes,Flats,Black,Winter,2012,Casual,Rocia Women Black & Brown Flats
57162,Women,Apparel,Topwear,Tshirts,Teal,Summer,2012,Casual,Elle Women Teal T-shirt
9602,Men,Apparel,Topwear,Shirts,Black,Fall,2011,Casual,Scullers Men Scul White & Red Shirt
48525,Women,Apparel,Dress,Dresses,White,Summer,2012,Casual,French Connection Women White & Blue  Striped Dress
48373,Men,Apparel,Topwear,Shirts,White,Summer,2012,Casual,French Connection Men White & Purple Check Shirt
57995,Women,Apparel,Dress,Dresses,Black,Fall,2012,Casual,Latin Quarters Women & White Black Dress
5699,Men,Footwear,Shoes,Casual Shoes,Black,Winter,2015,Casual,Skechers Men's Striking Black Shoe
59033,Women,Footwear,Shoes,Heels,Black,Winter,2012,Casual,Carlton London Women Black Heels
56847,Men,Apparel,Bottomwear,Jeans,Blue,Summer,2012,Casual,John Players Men Blue Jeans
56249,Men,Apparel,Loungewear and Nightwear,Night suits,White,Summer,2016,Casual,SDL by Sweet Dreams Men White Pyjama Set
48387,Men,Apparel,Bottomwear,Jeans,Blue,Summer,2012,Casual,French Connection Men Blue Jeans
50378,Women,Apparel,Bottomwear,Salwar and Dupatta,White,Summer,2012,Ethnic,Vishudh Women Red & White Salwar and Dupatta
57961,Women,Apparel,Saree,Sarees,Black,Fall,2012,Ethnic,Prafful Women Black & Grren Sari
39122,Women,Apparel,Bottomwear,Leggings,Blue,Fall,2012,Casual,Aneri Women Blue Leggings
49067,Women,Accessories,Bags,Handbags,Olive,Summer,2012,Casual,Lino Perros Women Olive Handbag
5209,Men,Apparel,Topwear,Tshirts,White,Summer,2011,Casual,Superman Men's Job Round Neck White T-shirt
57959,Women,Apparel,Saree,Sarees,Turquoise Blue,Fall,2012,Ethnic,Prafful Turquoise Blue Printed Sari
58911,Men,Accessories,Ties,Ties,Grey,Summer,2012,Casual,Hakashi Men Grey Silk Tie
57165,Women,Apparel,Topwear,Tops,Magenta,Summer,2012,Casual,Elle Women Magenta Clash Top
42685,Women,Apparel,Topwear,Kurtas,White,Summer,2012,Ethnic,Alma Women White Printed Kurta
43757,Women,Accessories,Jewellery,Bangle,White,Fall,2012,Casual,Royal Diadem Set of 2 White Bangles
50340,Women,Apparel,Topwear,Kurtis,Brown,Summer,2012,Ethnic,Aurelia Women Brown Printed Kurti
50172,Women,Footwear,Shoes,Flats,Green,Winter,2012,Casual,Rocia Women Multi- Coloured Shoes
36360,Men,Accessories,Ties,Ties,Gold,Summer,2012,Formal,Reid & Taylor Men Gold Tie
33044,Women,Apparel,Topwear,Kurtas,Blue,Summer,2012,Ethnic,Mother Earth Women Printed Blue Kurta
9408,Women,Accessories,Eyewear,Sunglasses,Blue,Winter,2016,Casual,Fastrack Women Sunglasses
57191,Women,Apparel,Topwear,Tops,White,Summer,2012,Casual,Elle Women White Top
42671,Women,Apparel,Topwear,Kurtas,Green,Summer,2012,Ethnic,Alma Women Green Kurta
49636,Women,Apparel,Bottomwear,Skirts,Blue,Summer,2012,Casual,Mineral Blue & White Skirt
48380,Men,Apparel,Bottomwear,Trousers,Black,Summer,2012,Casual,French Connection Men Charcoal Trousers
43768,Women,Accessories,Jewellery,Earrings,Black,Summer,2012,Casual,Royal Diadem Black Earrings
57966,Women,Apparel,Saree,Sarees,Multi,Fall,2012,Ethnic,Prafful Multi Coloured Sari
39125,Women,Apparel,Bottomwear,Leggings,Purple,Fall,2012,Casual,Aneri Women Purple Leggings
48374,Men,Apparel,Topwear,Shirts,Purple,Summer,2012,Casual,French Connection Men Purple & Black Striped Shirt
57992,Women,Apparel,Topwear,Shirts,Purple,Fall,2012,Casual,Latin Quarters Women Purple Shirt
59034,Women,Footwear,Shoes,Heels,Bronze,Winter,2012,Casual,Carlton London Women Black Heels
59662,Women,Apparel,Saree,Sarees,Multi,Fall,2012,Ethnic,FNF Multi Colour Evening Wear Sari
48522,Women,Apparel,Dress,Jumpsuit,Blue,Winter,2011,Casual,French Connection Women Blue Jumpsuit
43305,Women,Apparel,Topwear,Shirts,Pink,Summer,2012,Casual,United Colors of Benetton Women Pink Shirt
57153,Women,Apparel,Topwear,Tshirts,Peach,Summer,2012,Casual,Elle Women Peach T-shirt
49069,Women,Accessories,Bags,Handbags,Pink,Summer,2012,Casual,Lino Perros Women Pink Handbag
43795,Women,Accessories,Jewellery,Earrings,Gold,Summer,2012,Ethnic,Royal Diadem Magenta Earrings
56849,Men,Apparel,Bottomwear,Jeans,Navy Blue,Fall,2012,Casual,John Players Men Navy Regular Fit Jeans
5697,Men,Footwear,Shoes,Casual Shoes,Black,Winter,2015,Casual,Skechers Men Black Casual Shoes
56247,Men,Apparel,Loungewear and Nightwear,Night suits,Grey Melange,Summer,2016,Casual,SDL by Sweet Dreams Men Grey & Blue Pyjama Set
56882,Women,Footwear,Shoes,Heels,Red,Winter,2012,Casual,HM Women Red Heels
50349,Women,Apparel,Topwear,Kurtas,Red,Summer,2012,Ethnic,Aurelia Women Red Kurta
52846,Women,Accessories,Jewellery,Earrings,White,Summer,2012,Casual,Adrika White Earrings
49600,Women,Footwear,Shoes,Heels,White,Winter,2015,Casual,Catwalk Women White Flats
43934,Women,Footwear,Shoes,Heels,Black,Winter,2012,Casual,Catwalk Women Black Heels
3907,Women,Apparel,Bottomwear,Track Pants,Cream,Summer,2011,Casual,Urban Yoga Women's Fitted Yoga Cream Track Pant
48514,Women,Apparel,Topwear,Tops,Grey,Summer,2012,Casual,French Connection Women Grey Top
48170,Women,Accessories,Wallets,Wallets,Blue,Winter,2016,Casual,Fossil Women Blue Floral Print Wallet
47138,Women,Accessories,Bags,Handbags,White,Summer,2015,Casual,Be For Bag Women Combo pack Tote Bags
56876,Women,Footwear,Shoes,Heels,Blue,Winter,2012,Casual,HM Women Blue Heels
57198,Women,Apparel,Topwear,Tops,Multi,Summer,2012,Casual,Elle Women Multi Coloured Top
43792,Women,Accessories,Jewellery,Earrings,Gold,Summer,2012,Ethnic,Royal Diadem Gold & Pink Earrings
5690,Men,Footwear,Shoes,Casual Shoes,Black,Winter,2015,Casual,Skechers Men Valence Envoy Black Shoe
5456,Men,Apparel,Bottomwear,Shorts,Navy Blue,Summer,2011,Sports,Nike Men's Basic Woven Med Blue Short
57968,Women,Apparel,Saree,Sarees,Rust,Fall,2012,Ethnic,Prafful Rust Sari
57154,Women,Apparel,Topwear,Tshirts,Grey Melange,Summer,2012,Casual,Elle Women Grey Melange T-shirt
49638,Women,Apparel,Topwear,Tops,Pink,Summer,2012,Casual,Mineral Women Pink Top
57530,Men,Footwear,Shoes,Casual Shoes,Black,Fall,2012,Casual,Provogue Men Black Casual Shoes
56871,Women,Footwear,Shoes,Heels,Black,Winter,2012,Casual,HM Women Black Sandals
48513,Women,Apparel,Topwear,Tops,Black,Summer,2012,Casual,French Connection Women Black Top
52089,Women,Apparel,Topwear,Tshirts,Black,Summer,2012,Casual,Myntra Women Black T-shirt
8712,Unisex,Accessories,Eyewear,Sunglasses,Black,Winter,2016,Casual,Fastrack Unisex Black Sunglasses
54984,Women,Apparel,Loungewear and Nightwear,Lounge Pants,Blue,Summer,2017,Casual,Femella Women Printed Blue Lounge Pants
43933,Women,Footwear,Shoes,Heels,Black,Winter,2012,Casual,Catwalk Women Black Heels
25913,Women,Apparel,Bottomwear,Leggings,Blue,Summer,2012,Casual,Femella Women Blue Leggings
52841,Women,Accessories,Jewellery,Earrings,Green,Summer,2012,Casual,Adrika Green Earrings
56885,Women,Footwear,Shoes,Heels,Red,Winter,2012,Casual,HM Women Red Heels
57957,Women,Apparel,Saree,Sarees,Multi,Fall,2012,Ethnic,Prafful Multi Coloured Sari
58123,Women,Accessories,Jewellery,Earrings,Silver,Fall,2012,Casual,Rreverie Silver & White Earrings
43759,Women,Accessories,Jewellery,Earrings,Gold,Summer,2012,Ethnic,Royal Diadem Black Earrings
58140,Women,Accessories,Jewellery,Earrings,Silver,Fall,2012,Casual,Rreverie Silver Earrings
57108,Women,Apparel,Topwear,Tops,White,Summer,2012,Casual,Elle Women White Top
6881,Women,Apparel,Topwear,Tops,Peach,Summer,2011,Casual,Forever New Women Sleeveless Peach Top
48584,Men,Accessories,Jewellery,Bracelet,Steel,Summer,2012,Casual,Revv Men Steel Bracelet
5852,Women,Accessories,Bags,Handbags,Black,Summer,2011,Casual,ADIDAS Women Shoulder Black HandBag
52822,Women,Accessories,Jewellery,Earrings,Red,Fall,2012,Ethnic,Adrika Women Red & White Earrings
8785,Women,Apparel,Topwear,Jackets,Pink,Fall,2011,Casual,Lotto Women Cathy Pink Jacket
53138,Women,Footwear,Shoes,Heels,Blue,Winter,2015,Casual,Catwalk Women Blue Heels
9465,Men,Apparel,Topwear,Shirts,White,Fall,2011,Formal,John Miller Men White Self Structure Shirts
48742,Men,Accessories,Jewellery,Bangle,Steel,Summer,2012,Casual,Revv Men Steel Bangle
6875,Women,Apparel,Dress,Dresses,Black,Summer,2011,Casual,Forever New Women's Gold Sleeveless Black Dress
59254,Men,Accessories,Watches,Watches,White,Winter,2016,Casual,Titan Men White Dial Watch
44376,Women,Apparel,Topwear,Waistcoat,Blue,Summer,2012,Casual,ONLY Women Blue Waistcoat
57305,Women,Footwear,Shoes,Heels,Black,Winter,2012,Casual,Rocia Women Black Heels
54580,Women,Apparel,Topwear,Kurtas,Red,Summer,2012,Ethnic,Sushilas Women Printed Red Kurta
43705,Women,Accessories,Jewellery,Jewellery Set,White,Summer,2012,Ethnic,Royal Diadem White Jewellery Set
57137,Women,Apparel,Bottomwear,Trousers,Khaki,Summer,2012,Casual,Elle Women Khaki Trousers
40180,Men,Accessories,Eyewear,Sunglasses,Black,Winter,2016,Casual,Fastrack Men UV Protected Sporty Wrap Sunglasses
54574,Women,Apparel,Topwear,Kurtas,Green,Summer,2012,Ethnic,Sushilas Women Printed Green Kurti
59253,Men,Accessories,Watches,Watches,Bronze,Winter,2016,Casual,Titan Men Bronze Chronograph Dial Watch
6872,Women,Apparel,Dress,Dresses,Black,Summer,2011,Casual,Forever New Women's Lacy Black Dress
48745,Men,Accessories,Jewellery,Bangle,Steel,Summer,2013,Casual,Revv Men Steel Bangle
54128,Women,Footwear,Shoes,Heels,Silver,Winter,2012,Casual,Rocia Women Silver Heels
4389,Men,Apparel,Topwear,Tshirts,Black,Summer,2011,Casual,Free Authority Men's Music Space Black T-shirt
52825,Women,Accessories,Jewellery,Earrings,Green,Summer,2012,Casual,Adrika Black & Green Earrings
48583,Men,Accessories,Jewellery,Bracelet,Steel,Summer,2012,Casual,Revv Men Steel Bracelet
55832,Women,Apparel,Loungewear and Nightwear,Nightdress,Purple,Summer,2017,Casual,SDL by Sweet Dreams Women White Printed Nightdress
6886,Women,Apparel,Topwear,Jackets,Black,Summer,2011,Casual,Forever New Women Puff Sleeve Tux Black Jacket
54117,Women,Footwear,Shoes,Heels,Brown,Winter,2012,Casual,Rocia Women Brown Flats
35120,Women,Accessories,Jewellery,Necklace and Chains,Bronze,Fall,2012,Casual,Allen Solly Woman Bronze Necklace
42240,Women,Apparel,Topwear,Tops,Purple,Summer,2012,Casual,Sepia Women Purple Top
9039,Men,Footwear,Shoes,Formal Shoes,Black,Winter,2011,Formal,Buckaroo Men Victor Black Formal Shoes
45401,Women,Footwear,Shoes,Flats,Grey,Winter,2012,Casual,Rocia Women Grey Sandals
54573,Women,Apparel,Topwear,Kurtas,Coffee Brown,Summer,2012,Ethnic,Sushilas Women Coffee Brown Kurta
19548,Men,Apparel,Topwear,Sweatshirts,Purple,Fall,2011,Casual,United Colors of Benetton Men Solid Purple Sweatshirt
58178,Women,Accessories,Bags,Handbags,Grey,Summer,2012,Casual,Rocky S Women Grey Handbag
57130,Women,Apparel,Topwear,Tops,White,Summer,2012,Casual,Elle Women Printed White Top
59896,Women,Apparel,Dress,Dresses,Multi,Fall,2012,Casual,Femella Women Multi Coloured Dress
57302,Women,Footwear,Shoes,Heels,Black,Winter,2012,Casual,Rocia Women Black Wedges
54587,Women,Apparel,Topwear,Kurtas,White,Summer,2012,Ethnic,Sushilas Women Printed White Kurta
25948,Women,Accessories,Scarves,Scarves,Green,Summer,2012,Casual,Femella Women Green Scarf
52026,Unisex,Apparel,Topwear,Rain Jacket,Grey,Summer,2012,,Just Natural Unisex Grey Rain Jacket
59265,Women,Accessories,Watches,Watches,White,Winter,2016,Casual,Titan Women Mother Of Pearl Watch
58185,Women,Accessories,Bags,Handbags,Purple,Summer,2012,Casual,Rocky S Women Purple Handbag
58171,Women,Accessories,Bags,Handbags,Grey,Fall,2012,Casual,Rocky S Women Grey Handbag
39146,Women,Apparel,Apparel Set,Kurta Sets,Purple,Fall,2012,Ethnic,Aneri Women Purple Ombre Churidar Kurta & Dupatta Set
57139,Women,Apparel,Bottomwear,Trousers,Black,Summer,2012,Casual,Elle Women Black Etra Slim Fit Trousers
49655,Women,Apparel,Bottomwear,Skirts,Pink,Summer,2012,Casual,Mineral Pink & Green Skirt
58515,Women,Apparel,Topwear,Tops,White,Summer,2012,Casual,Tonga Women White Top
54121,Women,Footwear,Shoes,Heels,Black,Winter,2012,Casual,Rocia Women Black Flats
56676,Men,Accessories,Watches,Watches,White,Winter,2016,Casual,Maxima Men White Chronograph Watch
53136,Women,Footwear,Shoes,Heels,Black,Winter,2015,Casual,Catwalk Women Black Heels
4374,Men,Apparel,Topwear,Tshirts,Black,Summer,2011,Casual,Batman Men's Batman Big Face Black T-shirt
4380,Men,Apparel,Topwear,Tshirts,Red,Summer,2011,Casual,Superman Men's Dont Art Me Dark Red T-shirt
57106,Women,Apparel,Topwear,Tops,White,Summer,2012,Casual,Elle Women White Top
43734,Women,Accessories,Jewellery,Bangle,Gold,Summer,2012,Casual,Royal Diadem Set of 4 Golden Bangles
55651,Women,Footwear,Shoes,Heels,Blue,Winter,2015,Casual,Catwalk Women Blue Flats
49652,Women,Apparel,Topwear,Tops,Blue,Summer,2012,Casual,Mineral Women Blue Top
58512,Women,Apparel,Topwear,Tops,Cream,Summer,2012,Casual,Tonga Women Printed Black Top
25946,Women,Accessories,Scarves,Scarves,Brown,Summer,2012,Casual,Femella Women Brown Scarf
19546,Women,Apparel,Topwear,Sweatshirts,Black,Fall,2011,Casual,United Colors of Benetton Women Solid Black Sweatshirt
58176,Women,Accessories,Bags,Handbags,Green,Fall,2012,Casual,Rocky S Women Green Handbag
39141,Women,Apparel,Apparel Set,Kurta Sets,Magenta,Summer,2012,Ethnic,Aneri Women Magenta Salwar Suit
54589,Women,Apparel,Topwear,Kurtas,Green,Summer,2012,Ethnic,Sushilas Women Printed Green Kurta
59050,Women,Footwear,Shoes,Heels,Red,Winter,2012,Casual,Carlton London Women Red & Black Heels
9205,Men,Footwear,Shoes,Casual Shoes,Black,Fall,2011,Casual,Puma Men SL Tech Lo NM Basic Black Casual Shoes
49494,Men,Footwear,Shoes,Casual Shoes,Navy Blue,Summer,2012,Casual,Vans Men Navy Blue Shoes
57101,Women,Apparel,Topwear,Tops,Cream,Summer,2012,Casual,Elle Women Cream Top
6888,Women,Apparel,Topwear,Tops,Cream,Summer,2011,Casual,Forever New Women's Cream Floral Print Top
39728,Women,Apparel,Topwear,Shirts,Pink,Summer,2012,Formal,Arrow Woman Women Pink Shirt
53131,Women,Footwear,Shoes,Heels,Gold,Winter,2015,Casual,Catwalk Women Gold Toned & Brown Flats
4373,Men,Apparel,Topwear,Tshirts,Black,Summer,2011,Casual,Aerosmith Men's Attic Black T-shirt
54126,Women,Footwear,Shoes,Heels,Bronze,Winter,2012,Casual,Rocia Women Bronze Heels
48579,Men,Accessories,Jewellery,Bracelet,Steel,Summer,2012,Casual,Revv Men Steel Bracelet
56671,Men,Accessories,Watches,Watches,White,Winter,2016,Casual,Maxima Men White Dial Watch
9008,Women,Accessories,Bags,Handbags,Multi,Winter,2015,Casual,Murcia Women Checked Purse Multi Handbags
57155,Women,Apparel,Topwear,Tops,Pink,Summer,2012,Casual,Elle Women Pink Top
57969,Women,Apparel,Saree,Sarees,Black,Fall,2012,Ethnic,Prafful Women Black & Grren Sari
5457,Men,Apparel,Bottomwear,Track Pants,Navy Blue,Summer,2011,Sports,Nike Men's Perfect Navy Blue Track Pant
47591,Women,Footwear,Shoes,Heels,Black,Winter,2012,Casual,Portia Women Black Flats
49639,Women,Apparel,Topwear,Tops,Green,Summer,2012,Casual,Mineral Women Lime Green Top
57531,Men,Footwear,Shoes,Casual Shoes,Mushroom Brown,Fall,2012,Casual,Provogue Men Mushroom Brown Casual Shoes
43793,Women,Accessories,Jewellery,Earrings,Gold,Summer,2012,Ethnic,Royal Diadem White Earrings
5691,Men,Footwear,Shoes,Casual Shoes,White,Winter,2015,Casual,Skechers Men's Regions Off White Shoe
52840,Women,Accessories,Jewellery,Earrings,Red,Summer,2012,Casual,Adrika Red Earrings
43932,Women,Footwear,Shoes,Heels,Blue,Winter,2012,Casual,Catwalk Women Blue Heels
54985,Women,Apparel,Loungewear and Nightwear,Lounge Pants,Blue,Summer,2017,Casual,Femella Women Printed Blue Lounge Pants
8713,Unisex,Accessories,Eyewear,Sunglasses,Brown,Winter,2016,Casual,Fastrack Unisex Brown Sunglasses
56884,Women,Footwear,Shoes,Heels,Black,Winter,2012,Casual,HM Women Black Heels
57956,Women,Apparel,Saree,Sarees,Green,Fall,2012,Ethnic,Prafful Green Printed Sari
6219,Men,Apparel,Topwear,Tshirts,White,Summer,2011,Casual,Lee Men's Quill White T-shirt
56870,Women,Footwear,Shoes,Casual Shoes,Brown,Winter,2012,Casual,HM Women Brown Shoes
52088,Women,Apparel,Topwear,Tshirts,Grey,Summer,2012,Casual,Myntra Women Grey T-shirt
9635,Men,Apparel,Topwear,Shirts,White,Fall,2011,Formal,Indigo Nation Men Price catch Blue White Shirts
48512,Women,Apparel,Topwear,Tops,Grey,Summer,2012,Casual,French Connection Women Grey Top
43794,Women,Accessories,Jewellery,Earrings,Green,Summer,2012,Ethnic,Royal Diadem Gold & Green Earrings
5696,Men,Footwear,Shoes,Casual Shoes,Brown,Winter,2015,Casual,Skechers Men Genesis Brown Shoe
43304,Women,Apparel,Topwear,Shirts,White,Summer,2012,Casual,United Colors of Benetton Women White Shirt
49068,Women,Accessories,Bags,Handbags,Orange,Summer,2012,Casual,Lino Perros Women Orange Handbag
48388,Men,Apparel,Bottomwear,Jeans,Blue,Summer,2012,Casual,French Connection Men Blue Jeans
43760,Women,Accessories,Jewellery,Earrings,Gold,Summer,2012,Ethnic,Royal Diadem Golden Earrings
57152,Women,Apparel,Topwear,Tshirts,Sea Green,Summer,2012,Casual,Elle Women Sea Green T-shirt
48515,Women,Apparel,Topwear,Tops,Orange,Summer,2012,Casual,French Connection Women Coral Top
3906,Women,Apparel,Bottomwear,Track Pants,Black,Summer,2011,Casual,Urban Yoga Women's Fitted Yoga Black Track Pant
57199,Women,Apparel,Topwear,Tunics,Red,Summer,2012,Casual,Elle Women Red Tunic
56877,Women,Footwear,Shoes,Heels,Gold,Winter,2012,Casual,HM Women Golden Heels
47139,Women,Accessories,Bags,Handbags,Pink,Summer,2015,Casual,Be For Bag Women Combo pack Tote Bags
